,Acceso minusválidos,Metros,Plantas,Cal. energética:,Individual,Agua caliente,Consumo,provincia,Exterior,Número de terrazas,Piscina,Pista de tenis,Calefacción,Garajes,Tipo de terreno,Superficie edificable,Tipo de suelo,Conserje,Pista de fútbol,Gimnasio,Adosado,Año de construcción,Zonas verdes,Armarios,Tipo de fachada,Alarma,Pisos,Permite mascotas,Cal. energética,Superficie total,Superficie mínima en venta,Acceso,Ascensor,Campo de golf,Comunidad,Metros útiles,Puerta de seguridad,Aire acondicionado,Pista de pádel,Trastero,Orientación,Pista de squash,Pista de baloncesto,Antigüedad,Pareado,Circuito cerrado de seguridad,Inquilinos,Dormitorios,Baños,Amueblado,Emisiones,Precio,Cocina equipada,Estado
70,Si,73,10,,,,,zaragoza,Si,,,,Central,,,,,,,,,1971,,,Ladrillo,,,,,,,,Si,,"110,00 €",66,,,,Si,,,,Más de 50 años,,,,3,1,,,119900,,A reformar
71,Si,57,,Si,,Individual,,zaragoza,Si,1,,,Individual,,,,Parquet,,,,,2007,,2,Ladrillo,Si,,,,,,,Si,,"39,00 €",50,Si,Si,,,Este,,,Entre 15 y 20 Años,,Si,,1,1,,,120000,Si,Perfecto Estado
72,Si,81,,,,Individual,,zaragoza,Si,1,,,Central,,,,Baldosa,,Si,,,1975,,1,Ladrillo,,,,,,,,Si,,"117,00 €",75,,Si,,,,,,Entre 35 y 50 Años,,,,3,1,,,129000,,A reformar
73,,65,,,,Central,,zaragoza,Si,,,,Individual,,,,Gres,,,,,1968,,,,,,,,,,,Si,,"40,00 €",58,,,,,,,,Entre 35 y 50 Años,,,,3,1,,,133000,,Perfecto Estado
74,,78,4,,,Individual,,zaragoza,Si,,,,Individual,,,,Parquet,,,,,1936,,,,,12,,,,,,Si,,"70,00 €",67,,,,,Noreste,,,Más de 50 años,,,,3,1,,,137500,,Perfecto Estado
75,,94,4,,,Gas natural,,zaragoza,Si,,,,Central,1,,,Terrazo,,,,,2001,,,,,8,,,,,,Si,,"60,00 €",77,,Si,,Si,Norte,,,,,,,3,2,,,138000,Si,Perfecto Estado
76,,64,,,,,,zaragoza,,,,,,,,,Parquet,,,,,1970,,,,,,,,,,,Si,,,60,Si,,,,,,,Más de 50 años,,,,3,1,Si,,139000,Si,Perfecto Estado
77,Si,103,7,,,,,zaragoza,Si,1,,,Central,1,,,,,,,,1978,,,,,,Si,,,,,Si,,"115,00 €",68,,,,Si,Este,,,Entre 35 y 50 Años,,,,3,1,,,139900,Si,Perfecto Estado
78,,94,4,,,Gas natural,,zaragoza,Si,,,,Central,1,,,Terrazo,,,,,2001,,,,,8,,,,,,Si,,"60,00 €",77,,Si,,Si,Norte,,,,,,,3,2,,,140000,,Perfecto Estado
79,,78,,,,Individual,,zaragoza,Si,2,,,Individual,,,,Porcelánico,,,,,1964,,,,Si,,,,,,,Si,,,70,Si,Si,,,Oeste,,,Más de 50 años,,,,3,1,,,149000,Si,Perfecto Estado
80,Si,93,,,,Individual,,zaragoza,Si,,,,,,,,Gres,,,,,1960,Si,,,,,,,,,,Si,,"40,00 €",86,,,,,Este,,,Más de 50 años,,,,4,1,,,160000,Si,
81,,134,,,,Central,,zaragoza,Si,,,,Central,1,,,Baldosa,,,,,1980,,,,Si,,,,,,,Si,,"70,00 €",95,,Si,,Si,,,,Entre 35 y 50 Años,,,,3,1,Si,,170000,,Perfecto Estado
82,,104,,,,Individual,,zaragoza,Si,2,,,Individual,,,,Gres,,,,,1950,,,,,4,,,,,,,,,87,,,,,Este,,,Más de 50 años,,,,4,1,,,180000,Si,A reformar
83,Si,88,,Si,,Individual,,zaragoza,Si,2,,,Central,,,,Tarima Flotante,Si,,,,1970,,2,Ladrillo,Si,,,,,,,Si,,"150,00 €",80,Si,Si,,,Sureste,,,Más de 50 años,,Si,,3,1,,,185000,Si,Perfecto Estado
